"","X","Site","Quad","Species","trackID","Year","basalArea_genet","recruit","survives_tplus1","age","size_tplus1","nearEdge","Suspect","Treatment","Pasture","logsize"
"11",11,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2007,0.190414718131705,NA,1,NA,0.389298256829218,TRUE,FALSE,"gzgz","11",-1.65855085850055
"12",12,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2008,0.389298256829218,NA,1,NA,0.260932913982465,TRUE,FALSE,"gzgz","11",-0.943409502081332
"13",13,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2009,0.260932913982465,NA,1,NA,0.345912373300599,TRUE,FALSE,"gzgz","11",-1.34349193924843
"14",14,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2010,0.345912373300599,NA,NA,NA,NA,TRUE,FALSE,"gzgz","11",-1.06156979235587
"15",15,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2000_1",2000,0.00212438397665932,1,1,0,0.000942000324195967,TRUE,FALSE,"gzgz","11",-6.15427341196975
"16",16,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2000_1",2001,0.000942000324195967,0,1,1,0.000555860346364218,TRUE,FALSE,"gzgz","11",-6.96750493923089
"17",17,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2000_1",2002,0.000555860346364218,0,1,2,0.00153111578543937,TRUE,FALSE,"gzgz","11",-7.49499347086749
"18",18,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2000_1",2003,0.00153111578543937,0,0,3,NA,TRUE,FALSE,"gzgz","11",-6.48175853783806
"19",19,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2001_1",2001,0.000748859251754597,1,0,0,NA,FALSE,FALSE,"gzgz","11",-7.19695950698565
"20",20,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2001_2",2001,2.4999999999999e-05,1,0,0,NA,FALSE,FALSE,"gzgz","11",-10.5966347330961
"21",21,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2001_3",2001,2.49999999999998e-05,1,1,0,2.49999999999994e-05,FALSE,FALSE,"gzgz","11",-10.5966347330961
"22",22,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2001_3",2002,2.49999999999994e-05,0,0,1,NA,FALSE,FALSE,"gzgz","11",-10.5966347330961
"23",23,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2005_1",2005,0.000494843009301778,1,1,0,0.00128503999871547,TRUE,FALSE,"gzgz","11",-7.61126999862491
"24",24,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2005_1",2006,0.00128503999871547,0,1,1,0.000318184019787497,TRUE,FALSE,"gzgz","11",-6.65696543371437
"25",25,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2005_1",2007,0.000318184019787497,0,1,2,0.000802215698147524,TRUE,FALSE,"gzgz","11",-8.05288066397694
"26",26,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2005_1",2008,0.000802215698147524,0,1,3,0.00125908364182972,TRUE,FALSE,"gzgz","11",-7.12813303594978
"27",27,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2005_1",2009,0.00125908364182972,0,1,4,0.00151714478170547,TRUE,FALSE,"gzgz","11",-6.67737109099581
"28",28,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2005_1",2010,0.00151714478170547,0,NA,5,NA,TRUE,FALSE,"gzgz","11",-6.49092514368037
"29",29,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2006_1",2006,0.000573339915231532,1,1,0,0.000430190037313749,TRUE,FALSE,"gzgz","11",-7.46403179683578
"30",30,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2006_1",2007,0.000430190037313749,0,1,1,0.00136734529597222,TRUE,FALSE,"gzgz","11",-7.75128349966531
"31",31,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2006_1",2008,0.00136734529597222,0,1,2,0.000244436598079053,TRUE,FALSE,"gzgz","11",-6.59488415915567
"32",32,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2006_1",2009,0.000244436598079053,0,1,3,0.0028049448569632,TRUE,FALSE,"gzgz","11",-8.31655459523678
"33",33,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2006_1",2010,0.0028049448569632,0,NA,4,NA,TRUE,FALSE,"gzgz","11",-5.87637139903737
"34",34,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_1",2008,0.000203742433170632,1,0,0,NA,TRUE,FALSE,"gzgz","11",-8.49865394434578
"35",35,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_2",2008,0.00164133600943538,1,1,0,0.000668893408085676,FALSE,FALSE,"gzgz","11",-6.41224472888539
"36",36,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_2",2009,0.000668893408085676,0,1,1,0.000463917184701573,FALSE,FALSE,"gzgz","11",-7.30988584074618
"37",37,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_2",2010,0.000463917184701573,0,NA,2,NA,FALSE,FALSE,"gzgz","11",-7.6758045029143
"38",38,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_3",2008,0.00231725964756469,1,1,0,0.000653009474781087,FALSE,FALSE,"gzgz","11",-6.06736997784891
"39",39,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_3",2009,0.000653009474781087,0,1,1,0.00131537724401768,FALSE,FALSE,"gzgz","11",-7.33391891917429
"40",40,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_3",2010,0.00131537724401768,0,NA,2,NA,FALSE,FALSE,"gzgz","11",-6.63363177691393
"41",41,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_4",2008,0.000265584274421912,1,0,0,NA,FALSE,FALSE,"gzgz","11",-8.23357834986367
"42",42,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_5",2008,0.000825985342944609,1,1,0,0.0018667548769134,TRUE,FALSE,"gzgz","11",-7.09893352921985
"43",43,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_5",2009,0.0018667548769134,0,1,1,0.000997254705834296,TRUE,FALSE,"gzgz","11",-6.28355371553633
"44",44,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_2008_5",2010,0.000997254705834296,0,NA,2,NA,TRUE,FALSE,"gzgz","11",-6.91050434837887
"45",77,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",1997,0.24126988159617,NA,1,NA,0.344799891445238,TRUE,FALSE,"gzgz","19",-1.42183913139729
"46",78,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",1998,0.344799891445238,NA,1,NA,0.319552658931478,TRUE,FALSE,"gzgz","19",-1.06479105502664
"47",79,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",1999,0.319552658931478,NA,1,NA,0.25159924430692,TRUE,FALSE,"gzgz","19",-1.14083320205838
"48",80,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2000,0.25159924430692,NA,1,NA,0.267151893521843,TRUE,FALSE,"gzgz","19",-1.37991775770997
"49",81,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2001,0.267151893521843,NA,1,NA,0.165394314596732,TRUE,FALSE,"gzgz","19",-1.31993789274331
"50",82,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2002,0.165394314596732,NA,1,NA,0.1106611842173,TRUE,FALSE,"gzgz","19",-1.79942287064275
"51",83,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2003,0.1106611842173,NA,1,NA,0.134850327084787,TRUE,FALSE,"gzgz","19",-2.20128214016604
"52",84,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2004,0.134850327084787,NA,1,NA,0.128502225705817,TRUE,FALSE,"gzgz","19",-2.00358980385401
"53",85,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2005,0.128502225705817,NA,1,NA,0.305406230681142,TRUE,FALSE,"gzgz","19",-2.05180905412903
"54",86,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2006,0.305406230681142,NA,1,NA,0.0510321222842718,TRUE,FALSE,"gzgz","19",-1.18611248469929
"55",87,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2007,0.0510321222842718,NA,1,NA,0.152891884361269,TRUE,FALSE,"gzgz","19",-2.97529999581805
"56",88,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2008,0.152891884361269,NA,1,NA,0.216541766099155,TRUE,FALSE,"gzgz","19",-1.87802424553777
"57",89,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2009,0.216541766099155,NA,1,NA,0.263165066296181,TRUE,FALSE,"gzgz","19",-1.52997183513765
"58",90,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1997_1",2010,0.263165066296181,NA,NA,NA,NA,TRUE,FALSE,"gzgz","19",-1.33497381517818
"59",91,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1998_1",1998,0.000220858886148877,1,1,0,0.00345564760680903,FALSE,FALSE,"gzgz","19",-8.41798658460315
"60",92,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1998_1",1999,0.00345564760680903,0,0,1,NA,FALSE,FALSE,"gzgz","19",-5.66774539886156
"61",93,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1998_2",1998,0.000359701681404367,1,1,0,2.4999999999999e-05,FALSE,TRUE,"gzgz","19",-7.93023553281055
"62",94,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1998_2",2000,2.4999999999999e-05,0,1,1,0.000407174547222926,FALSE,FALSE,"gzgz","19",-10.5966347330961
"63",95,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1998_2",2001,0.000407174547222926,0,1,2,8.69145312875799e-05,FALSE,FALSE,"gzgz","19",-7.80626860150152
"64",96,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1998_2",2002,8.69145312875799e-05,0,0,3,NA,FALSE,FALSE,"gzgz","19",-9.35058532117319
"65",97,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_1999_1",1999,2.49999999999998e-05,1,0,0,NA,TRUE,FALSE,"gzgz","19",-10.5966347330961
"66",98,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2000_1",2000,0.00106281590094488,1,1,0,0.000677182748909486,TRUE,FALSE,"gzgz","19",-6.84683338281975
"67",99,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2000_1",2002,0.000677182748909486,0,1,1,0.000433790000726855,TRUE,FALSE,"gzgz","19",-7.29756938217406
"68",100,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2000_1",2003,0.000433790000726855,0,1,2,4.9999999999998e-05,TRUE,FALSE,"gzgz","19",-7.74295001025935
"69",101,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2000_1",2005,4.9999999999998e-05,0,1,3,0.00111501496093386,FALSE,FALSE,"gzgz","19",-9.90348755253617
"70",102,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2000_1",2006,0.00111501496093386,0,1,4,0.000124999999999995,TRUE,FALSE,"gzgz","19",-6.79888745628218
"71",103,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2000_1",2007,0.000124999999999995,0,1,5,0.00143495705782484,TRUE,FALSE,"gzgz","19",-8.98719682066201
"72",104,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2000_1",2008,0.00143495705782484,0,1,6,0.00197590578662634,TRUE,FALSE,"gzgz","19",-6.54662035507905
"73",105,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2000_1",2009,0.00197590578662634,0,NA,7,NA,TRUE,FALSE,"gzgz","19",-6.22672835962596
"74",106,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2000_2",2000,2.49999999999994e-05,1,1,0,2.49999999999994e-05,FALSE,FALSE,"gzgz","19",-10.5966347330961
"75",107,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2000_2",2002,2.49999999999994e-05,0,0,1,NA,FALSE,FALSE,"gzgz","19",-10.5966347330961
"76",108,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_1",2001,0.00063930680737669,1,1,0,0.000151984040669944,TRUE,FALSE,"gzgz","19",-7.35512608207577
"77",109,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_1",2002,0.000151984040669944,0,0,1,NA,TRUE,FALSE,"gzgz","19",-8.79173503822289
"78",110,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_2",2001,0.00054925617274488,1,0,0,NA,TRUE,FALSE,"gzgz","19",-7.50694560826497
"79",111,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_3",2001,0.000246511899722441,1,1,0,2.49999999999995e-05,TRUE,FALSE,"gzgz","19",-8.30810029091065
"80",112,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_3",2002,2.49999999999995e-05,0,0,1,NA,TRUE,FALSE,"gzgz","19",-10.5966347330961
"81",113,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_4",2001,2.50000000000001e-05,1,1,0,5e-05,FALSE,FALSE,"gzgz","19",-10.5966347330961
"82",114,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_4",2002,5e-05,0,1,1,0.000265115041463938,TRUE,FALSE,"gzgz","19",-9.90348755253613
"83",115,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_4",2003,0.000265115041463938,0,0,2,NA,TRUE,FALSE,"gzgz","19",-8.23534670744849
"84",116,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_5",2001,2.49999999999995e-05,1,0,0,NA,FALSE,FALSE,"gzgz","19",-10.5966347330961
"85",117,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_6",2001,2.49999999999995e-05,1,1,0,0.0006366135869409,TRUE,FALSE,"gzgz","19",-10.5966347330961
"86",118,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_6",2002,0.0006366135869409,0,0,1,NA,TRUE,FALSE,"gzgz","19",-7.3593477003643
"87",119,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_7",2001,2.49999999999995e-05,1,0,0,NA,FALSE,FALSE,"gzgz","19",-10.5966347330961
"88",120,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_8",2001,2.49999999999995e-05,1,1,0,0.00013385382161887,TRUE,FALSE,"gzgz","19",-10.5966347330961
"89",121,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2001_8",2002,0.00013385382161887,0,0,1,NA,TRUE,FALSE,"gzgz","19",-8.91876223690105
"90",122,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2002_1",2002,0.000857666195369193,1,1,0,0.00230960005408808,FALSE,FALSE,"gzgz","19",-7.06129558386203
"91",123,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2002_1",2004,0.00230960005408808,0,1,1,0.00162075001652899,FALSE,FALSE,"gzgz","19",-6.07068090619674
"92",124,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2002_1",2005,0.00162075001652899,0,1,2,2.4999999999999e-05,FALSE,TRUE,"gzgz","19",-6.42486626371081
"93",125,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2002_1",2007,2.4999999999999e-05,0,1,3,0.000259656537932069,FALSE,FALSE,"gzgz","19",-10.5966347330961
"94",126,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2002_1",2008,0.000259656537932069,0,0,4,NA,FALSE,FALSE,"gzgz","19",-8.25615080820251
"95",127,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2002_2",2002,0.000204121875081468,1,0,0,NA,FALSE,FALSE,"gzgz","19",-8.4967933156385
"96",128,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2003_1",2003,0.00013138498651868,1,0,0,NA,FALSE,FALSE,"gzgz","19",-8.93737871629039
"97",129,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2003_2",2003,3.45599989227847e-05,1,0,0,NA,TRUE,FALSE,"gzgz","19",-10.2728136451978
"98",130,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2003_3",2003,2.5e-05,1,1,0,2.5e-05,TRUE,FALSE,"gzgz","19",-10.5966347330961
"99",131,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2003_3",2004,2.5e-05,0,1,1,0.00373342989055793,FALSE,FALSE,"gzgz","19",-10.5966347330961
"100",132,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2003_3",2006,0.00373342989055793,0,1,2,0.000157379986501153,TRUE,TRUE,"gzgz","19",-5.59042792614135
"101",133,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2003_3",2007,0.000157379986501153,0,1,3,0.00346390982361131,FALSE,FALSE,"gzgz","19",-8.75684738062976
"102",134,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2003_3",2008,0.00346390982361131,0,1,4,0.00109360251450159,FALSE,FALSE,"gzgz","19",-5.66535732106557
"103",135,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2003_3",2009,0.00109360251450159,0,1,5,0.000654899053605433,FALSE,FALSE,"gzgz","19",-6.81827797326897
"104",136,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2003_3",2010,0.000654899053605433,0,NA,6,NA,FALSE,FALSE,"gzgz","19",-7.33102945083914
"105",137,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2005_1",2005,0.00198541008070472,1,1,0,0.000445805034244959,FALSE,FALSE,"gzgz","19",-6.22192979640403
"106",138,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2005_1",2007,0.000445805034244959,0,1,1,0.000883844747244461,FALSE,FALSE,"gzgz","19",-7.71562884446756
"107",139,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2005_1",2008,0.000883844747244461,0,0,2,NA,FALSE,FALSE,"gzgz","19",-7.03122913603963
"108",140,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2005_2",2005,0.00130462000684277,1,1,0,0.00167550496610205,FALSE,FALSE,"gzgz","19",-6.6418434631053
"109",141,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2005_2",2006,0.00167550496610205,0,1,1,2.49999999999998e-05,FALSE,TRUE,"gzgz","19",-6.39164068683902
"110",142,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2005_2",2007,2.49999999999998e-05,0,1,2,0.00124238867756504,FALSE,FALSE,"gzgz","19",-10.5966347330961
"111",143,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2005_2",2008,0.00124238867756504,0,0,3,NA,FALSE,FALSE,"gzgz","19",-6.6907193995285
"112",144,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2005_3",2005,2.49999999999995e-05,1,0,0,NA,FALSE,FALSE,"gzgz","19",-10.5966347330961
"113",145,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2006_1",2006,0.00149003515720117,1,1,0,4.99999999999988e-05,FALSE,TRUE,"gzgz","19",-6.50895556386611
"114",146,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2006_1",2007,4.99999999999988e-05,0,1,1,0.000249316126964812,FALSE,FALSE,"gzgz","19",-9.90348755253615
"115",147,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2006_1",2008,0.000249316126964812,0,0,2,NA,FALSE,FALSE,"gzgz","19",-8.29678888053859
"116",148,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2006_2",2006,0.000929964974261751,1,0,0,NA,FALSE,FALSE,"gzgz","19",-6.98036363461035
"117",149,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2006_3",2006,0.000503325061564901,1,1,0,0.000906242836249803,FALSE,FALSE,"gzgz","19",-7.59427435093547
"118",150,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2006_3",2008,0.000906242836249803,0,1,1,0.00202307409395305,FALSE,FALSE,"gzgz","19",-7.00620325665444
"119",151,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2006_3",2009,0.00202307409395305,0,1,2,0.00346290080388779,FALSE,FALSE,"gzgz","19",-6.20313709568718
"120",152,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2006_3",2010,0.00346290080388779,0,NA,3,NA,TRUE,FALSE,"gzgz","19",-5.66564865853238
"121",153,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2006_4",2006,0.00160719007580274,1,1,0,0.00114402356107683,TRUE,FALSE,"gzgz","19",-6.43326791931914
"122",154,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2006_4",2008,0.00114402356107683,0,0,1,NA,TRUE,FALSE,"gzgz","19",-6.77320379088974
"123",155,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2007_1",2007,2.49999999999994e-05,1,0,0,NA,FALSE,FALSE,"gzgz","19",-10.5966347330961
"124",156,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2007_2",2007,2.50000000000001e-05,1,1,0,0.001056242410603,FALSE,FALSE,"gzgz","19",-10.5966347330961
"125",157,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2007_2",2008,0.001056242410603,0,1,1,0.000994842135033048,TRUE,FALSE,"gzgz","19",-6.85303756454663
"126",158,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2007_2",2009,0.000994842135033048,0,1,2,0.000975756493392353,TRUE,FALSE,"gzgz","19",-6.91292649165148
"127",159,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2007_2",2010,0.000975756493392353,0,NA,3,NA,TRUE,FALSE,"gzgz","19",-6.93229749715515
"128",160,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2007_3",2007,2.50000000000001e-05,1,0,0,NA,FALSE,FALSE,"gzgz","19",-10.5966347330961
"129",161,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2007_4",2007,2.5e-05,1,1,0,0.00124524817284736,TRUE,FALSE,"gzgz","19",-10.5966347330961
"130",162,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2007_4",2008,0.00124524817284736,0,0,1,NA,TRUE,FALSE,"gzgz","19",-6.6884204333098
"131",163,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_1",2008,0.0022065260844547,1,1,0,0.00428127325688421,FALSE,FALSE,"gzgz","19",-6.11633590768181
"132",164,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_1",2009,0.00428127325688421,0,1,1,0.00582763475290624,FALSE,FALSE,"gzgz","19",-5.45350482370357
"133",165,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_1",2010,0.00582763475290624,0,NA,2,NA,FALSE,FALSE,"gzgz","19",-5.14514406369987
"134",166,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_10",2008,0.00105505465184104,1,1,0,0.000685163235256754,TRUE,FALSE,"gzgz","19",-6.85416271070289
"135",167,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_10",2009,0.000685163235256754,0,1,1,0.00114415690165064,TRUE,FALSE,"gzgz","19",-7.285853448446
"136",168,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_10",2010,0.00114415690165064,0,NA,2,NA,TRUE,FALSE,"gzgz","19",-6.77308724363646
"137",169,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_11",2008,0.000181715259294502,1,1,0,0.00109825266937846,TRUE,FALSE,"gzgz","19",-8.61306960538111
"138",170,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_11",2010,0.00109825266937846,0,NA,1,NA,TRUE,FALSE,"gzgz","19",-6.81403484453682
"139",171,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_12",2008,0.000499981382622566,1,1,0,0.00330702680774072,TRUE,FALSE,"gzgz","19",-7.60093969499018
"140",172,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_12",2009,0.00330702680774072,0,1,1,0.000781719923974995,TRUE,FALSE,"gzgz","19",-5.71170573865286
"141",173,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_12",2010,0.000781719923974995,0,NA,2,NA,TRUE,FALSE,"gzgz","19",-7.1540140350559
"142",174,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_13",2008,0.000785526264982715,1,0,0,NA,TRUE,FALSE,"gzgz","19",-7.14915666354853
"143",175,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_14",2008,2.4999999999999e-05,1,0,0,NA,FALSE,FALSE,"gzgz","19",-10.5966347330961
"144",176,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_2",2008,0.00188044434339623,1,1,0,0.000578443820484853,FALSE,FALSE,"gzgz","19",-6.27624717719688
"145",177,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_2",2009,0.000578443820484853,0,1,1,0.00106651026970891,FALSE,FALSE,"gzgz","19",-7.45516912843199
"146",178,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_2",2010,0.00106651026970891,0,NA,2,NA,FALSE,FALSE,"gzgz","19",-6.84336339074254
"147",179,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_3",2008,0.00162642320386923,1,1,0,0.000539844926900915,FALSE,FALSE,"gzgz","19",-6.42137202873935
"148",180,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_3",2009,0.000539844926900915,0,NA,1,NA,FALSE,FALSE,"gzgz","19",-7.52422863205356
"149",181,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_4",2008,0.000566163003311714,1,0,0,NA,FALSE,FALSE,"gzgz","19",-7.47662852950594
"150",182,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_5",2008,0.00182261717888433,1,1,0,0.00130900348286222,TRUE,FALSE,"gzgz","19",-6.30748180046421
"151",183,"CO","gzgz_19","Bouteloua gracilis","BOUGRA_2008_5",2009,0.00130900348286222,0,1,1,0.00196434439403474,TRUE,FALSE,"gzgz","19",-6.63848913135339
